wl,k
65.95,0.63521
66.12,0.63797
66.3,0.63527
66.48,0.63091
66.66,0.62758
66.84,0.62642
67.02,0.62988
67.2,0.63673
67.38,0.64341
67.57,0.65205
67.75,0.67052
67.94,0.69177
68.12,0.7064
68.31,0.71147
68.5,0.71254
68.69,0.71581
68.88,0.72208
69.07,0.72576
69.26,0.72599
69.46,0.72842
69.65,0.73451
69.85,0.74378
70.05,0.75611
70.25,0.76734
70.45,0.77207
70.65,0.76528
70.85,0.75449
71.05,0.74339
71.26,0.72782
71.46,0.71306
71.67,0.70204
71.87,0.69166
72.08,0.683
72.29,0.67718
72.51,0.67411
72.72,0.67063
72.93,0.66363
73.15,0.65867
73.36,0.65982
73.58,0.66365
73.8,0.66887
74.02,0.6775
74.24,0.68909
74.47,0.69852
74.69,0.70126
74.91,0.69725
75.14,0.69024
75.37,0.68365
75.6,0.67964
75.83,0.68112
76.06,0.68952
76.3,0.70193
76.53,0.71343
76.77,0.72165
77.01,0.72057
77.25,0.71623
77.49,0.71762
77.73,0.72784
77.98,0.74364
78.22,0.75953
78.47,0.77475
78.72,0.79356
78.97,0.81569
79.22,0.83194
79.48,0.8429
79.73,0.85915
79.99,0.88629
80.25,0.91269
80.51,0.92029
80.77,0.91341
81.04,0.90015
81.3,0.87925
81.57,0.85086
81.84,0.82391
82.11,0.81156
82.38,0.80808
82.66,0.80502
82.93,0.80222
83.21,0.80314
83.49,0.80485
83.77,0.80474
84.06,0.80793
84.34,0.82128
84.63,0.84396
84.92,0.86946
85.21,0.89141
85.51,0.90364
85.8,0.91025
86.1,0.91515
86.4,0.92941
86.7,0.95956
87.01,0.98833
87.31,1.00359
87.62,1.01664
87.93,1.03659
88.25,1.05838
88.56,1.07938
88.88,1.09445
89.2,1.10121
89.52,1.10357
89.84,1.09051
90.17,1.06654
90.5,1.04726
90.83,1.03653
91.16,1.02735
91.5,1.01965
91.84,1.01463
92.18,1.01716
92.53,1.01903
92.87,1.02895
93.22,1.04688
93.57,1.06276
93.93,1.07556
94.28,1.08708
94.64,1.10389
95.01,1.11896
95.37,1.12091
95.74,1.11832
96.11,1.10862
96.49,1.09451
96.86,1.07567
97.24,1.06534
97.63,1.06799
98.01,1.04775
98.4,1.00644
98.79,0.96573
99.19,0.93917
99.59,0.94444
99.99,0.96942
100.39,0.96919
100.8,0.95299
101.21,0.95758
101.63,0.98203
102.05,1.0025
102.47,1.00093
102.89,0.97807
103.32,0.94488
103.75,0.92135
104.19,0.9397
104.63,0.99857
105.07,1.04428
105.52,1.06619
105.97,1.08259
106.42,1.10952
106.88,1.15613
107.35,1.19886
107.81,1.21354
108.28,1.22006
108.76,1.2413
109.24,1.26971
109.72,1.30475
110.21,1.34931
110.7,1.39034
111.2,1.41343
111.7,1.40562
112.2,1.36974
112.71,1.33706
113.23,1.32322
113.75,1.31915
114.27,1.32102
114.8,1.333
115.33,1.35771
115.87,1.38752
116.42,1.40088
116.97,1.37337
117.52,1.30999
118.08,1.24957
118.65,1.21301
119.22,1.20618
119.79,1.23641
120.37,1.28847
120.96,1.34824
121.55,1.39757
122.15,1.41207
122.76,1.41551
123.37,1.40387
123.98,1.37096
124.61,1.35054
125.24,1.36975
125.87,1.40762
126.51,1.44234
127.16,1.45334
127.82,1.42762
128.48,1.39055
129.15,1.37015
129.83,1.36262
130.51,1.36654
131.2,1.37439
131.9,1.36234
132.6,1.33913
133.32,1.30442
134.04,1.26322
134.77,1.22698
135.5,1.19695
136.25,1.1745
137,1.16707
137.76,1.15664
138.53,1.12342
139.31,1.09228
140.1,1.08389
140.89,1.08167
141.7,1.06952
142.51,1.04033
143.33,1.00298
144.17,0.97611
145.01,0.9702
145.86,0.98032
146.73,0.98915
147.6,0.98776
148.48,0.97864
149.38,0.96443
150.28,0.95288
151.2,0.94436
152.13,0.94152
153.07,0.92882
154.02,0.90405
154.98,0.88574
155.96,0.87605
156.94,0.87316
157.94,0.88676
158.95,0.91317
159.98,0.92014
161.02,0.8906
162.07,0.83848
163.14,0.7769
164.22,0.72221
165.31,0.68158
166.42,0.66208
167.55,0.64633
168.69,0.60117
169.84,0.54053
171.01,0.49145
172.2,0.45577
173.4,0.42059
174.63,0.39072
175.86,0.37584
177.12,0.37511
178.4,0.37996
179.69,0.38631
181,0.39292
182.33,0.40131
183.68,0.41297
185.05,0.41883
186.44,0.41506
187.86,0.40649
189.29,0.39318
190.75,0.38088
192.22,0.37732
193.73,0.37918
195.25,0.37465
196.8,0.36563
198.38,0.35942
199.97,0.35786
201.6,0.3601
203.25,0.36632
204.93,0.37571
206.64,0.3848
208.38,0.39336
210.14,0.40841
211.94,0.434
213.77,0.46318
215.63,0.48912
217.52,0.51053
219.44,0.53722
221.4,0.57331
223.4,0.61247
225.43,0.64336
227.49,0.6501
229.6,0.63822
231.75,0.61948
233.93,0.60774
236.16,0.61038
238.43,0.61313
240.75,0.60458
243.11,0.58986
245.51,0.58305
247.97,0.59117
250.47,0.60935
253.03,0.62748
255.64,0.64688
258.3,0.66741
261.02,0.69268
263.8,0.71519
266.63,0.72168
269.53,0.71303
272.49,0.68962
275.52,0.66071
278.62,0.63835
281.78,0.61756
285.02,0.59389
288.34,0.57221
291.73,0.54526
295.2,0.51228
298.76,0.4728
302.4,0.43292
306.13,0.40545
309.96,0.38787
313.88,0.36777
317.91,0.32913
322.04,0.27672
326.27,0.23883
330.62,0.22744
335.09,0.23834
339.68,0.25844
344.4,0.27738
349.25,0.29783
354.24,0.31094
359.37,0.2966
364.66,0.24538
370.1,0.17974
375.71,0.13199
381.49,0.10163
387.45,0.07951
393.6,0.06325
399.95,0.05235
406.51,0.04463
413.28,0.03825
420.28,0.03197
427.53,0.02627
435.03,0.02181
442.8,0.01862
450.85,0.01627
459.2,0.01456
467.87,0.01328
476.86,0.0122
486.21,0.01135
495.94,0.01048
506.06,0.00983
516.6,0.00918
527.59,0.00874
539.06,0.00831
